19:44:01.432 [http-nio-8089-exec-9] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:44:01.437 [http-nio-8089-exec-4] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:44:01.438 [http-nio-8089-exec-4] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:45:17.921 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：2
19:45:17.921 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:46:27.925 [main] INFO  c.a.a.AgricultureApplication[logStartupProfileInfo] - The following profiles are active: dev
19:46:29.731 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - .............初始化 aosica-agriculture 数据..................
19:46:29.757 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - ............数据 aosica-agriculture 连接成功..................
19:46:30.670 [main] INFO  c.a.a.config.MybatisConfiguration[pageHelper] - ************ init MyBatis pageHelper  *********** 
19:46:31.996 [main] INFO  c.a.a.AgricultureApplication[logStarted] - Started AgricultureApplication in 6.047 seconds (JVM running for 6.6)
19:46:40.823 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:46:40.827 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:47:32.819 [main] INFO  c.a.a.AgricultureApplication[logStartupProfileInfo] - The following profiles are active: dev
19:47:34.657 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - .............初始化 aosica-agriculture 数据..................
19:47:34.684 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - ............数据 aosica-agriculture 连接成功..................
19:47:35.591 [main] INFO  c.a.a.config.MybatisConfiguration[pageHelper] - ************ init MyBatis pageHelper  *********** 
19:47:36.910 [main] INFO  c.a.a.AgricultureApplication[logStarted] - Started AgricultureApplication in 6.029 seconds (JVM running for 6.578)
19:47:41.941 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:47:41.944 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:48:52.533 [http-nio-8089-exec-5] ERROR c.a.a.service.WebSocketService[onError] - 发生错误：远程主机强迫关闭了一个现有的连接。，session ID： 0
19:48:52.535 [http-nio-8089-exec-5] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:48:59.339 [http-nio-8089-exec-6] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:48:59.340 [http-nio-8089-exec-6] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:49:03.840 [http-nio-8089-exec-9] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:49:03.855 [http-nio-8089-exec-10] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:49:03.857 [http-nio-8089-exec-10] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:50:43.622 [main] INFO  c.a.a.AgricultureApplication[logStartupProfileInfo] - The following profiles are active: dev
19:50:45.420 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - .............初始化 aosica-agriculture 数据..................
19:50:45.446 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - ............数据 aosica-agriculture 连接成功..................
19:50:46.348 [main] INFO  c.a.a.config.MybatisConfiguration[pageHelper] - ************ init MyBatis pageHelper  *********** 
19:50:47.658 [main] INFO  c.a.a.AgricultureApplication[logStarted] - Started AgricultureApplication in 5.976 seconds (JVM running for 6.534)
19:50:54.728 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:50:54.732 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:51:43.439 [main] INFO  c.a.a.AgricultureApplication[logStartupProfileInfo] - The following profiles are active: dev
19:51:45.210 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - .............初始化 aosica-agriculture 数据..................
19:51:45.237 [main] INFO  c.a.a.config.DataBaseConfiguration[dataSource] - ............数据 aosica-agriculture 连接成功..................
19:51:46.156 [main] INFO  c.a.a.config.MybatisConfiguration[pageHelper] - ************ init MyBatis pageHelper  *********** 
19:51:47.410 [main] INFO  c.a.a.AgricultureApplication[logStarted] - Started AgricultureApplication in 5.956 seconds (JVM running for 6.513)
19:51:52.052 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:51:52.055 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:51:56.066 [http-nio-8089-exec-2] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:51:56.074 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:51:56.074 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:51:57.392 [http-nio-8089-exec-8] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:51:57.398 [http-nio-8089-exec-10] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:51:57.400 [http-nio-8089-exec-6] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:51:58.412 [http-nio-8089-exec-7] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:51:58.427 [http-nio-8089-exec-4] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:51:58.427 [http-nio-8089-exec-4] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:52:00.101 [http-nio-8089-exec-9] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:52:00.108 [http-nio-8089-exec-5] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:52:00.108 [http-nio-8089-exec-5] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:52:16.737 [http-nio-8089-exec-1] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
19:52:16.745 [http-nio-8089-exec-2] INFO  c.a.a.service.WebSocketService[onOpen] - 有连接加入，当前连接数为：1
19:52:16.746 [http-nio-8089-exec-2] INFO  c.a.a.service.WebSocketService[onMessage] - 来自客户端的消息：消息发送测试(From Client)
19:52:17.487 [http-nio-8089-exec-3] INFO  c.a.a.service.WebSocketService[onClose] - 有连接关闭，当前连接数为：0
